number;name;address;latitude;longitude;idstation;ville
11.0;EARLSFORT TERRACE;Earlsfort Terrace;53.334295;-6.258503;173;dublin
17.0;GOLDEN LANE;Golden Lane;53.340803;-6.267732;174;dublin
45.0;DEVERELL PLACE;Deverell Place;53.351464;-6.255265;175;dublin
114.0;WILTON TERRACE (PARK);Wilton Terrace (Park);53.333653;-6.248345;176;dublin
72.0;JOHN STREET WEST;John Street West;53.343105;-6.277167;177;dublin
63.0;FENIAN STREET;Fenian Street;53.341428;-6.24672;178;dublin
113.0;MERRION SQUARE SOUTH;Merrion Square South;53.338614;-6.248606;179;dublin
91.0;SOUTH DOCK ROAD;South Dock Road;53.341833;-6.231291;180;dublin
99.0;CITY QUAY;City Quay;53.346637;-6.246154;181;dublin
9.0;EXCHEQUER STREET;Exchequer Street;53.343034;-6.263578;182;dublin
67.0;THE POINT;The Point;53.346867;-6.230852;183;dublin
116.0;BROADSTONE;Broadstone;53.3547;-6.272314;184;dublin
55.0;HATCH STREET;Hatch Street;53.33403;-6.260714;185;dublin
62.0;LIME STREET;Lime Street;53.346026;-6.243576;186;dublin
5.0;CHARLEMONT PLACE;Charlemont Street;53.330704;-6.2600041;187;dublin
97.0;KILMAINHAM GAOL;Kilmainham Gaol;53.342113;-6.310015;188;dublin
61.0;HARDWICKE PLACE;Hardwicke Place;53.357043;-6.263232;189;dublin
77.0;WOLFE TONE STREET;Wolfe Tone Street;53.348875;-6.267459;190;dublin
73.0;FRANCIS STREET;Francis Street;53.342081;-6.275233;191;dublin
4.0;GREEK STREET;Greek Street;53.346874;-6.272976;192;dublin
49.0;GUILD STREET;Guild Street;53.347932;-6.240928;193;dublin
19.0;HERBERT PLACE;Herbert Place;53.3347015;-6.2451391;194;dublin
7.0;HIGH STREET;High Street;53.3434199;-6.2744134;195;dublin
60.0;NORTH CIRCULAR ROAD;North Circular Road;53.359624;-6.260348;196;dublin
102.0;WESTERN WAY;Western Way;53.354929;-6.269425;197;dublin
38.0;TALBOT STREET;Talbot Street;53.3509988;-6.2526613;198;dublin
53.0;NEWMAN HOUSE;Newman House;53.337132;-6.26059;199;dublin
58.0;SIR PATRICK DUN'S;Sir Patrick's Dun;53.339218;-6.240642;200;dublin
66.0;NEW CENTRAL BANK;New Central Bank;53.347122;-6.234749;201;dublin
104.0;GRANGEGORMAN LOWER (CENTRAL);Grangegorman Lower (Central);53.355173;-6.278424;202;dublin
101.0;KING STREET NORTH;King Street North;53.350291;-6.273507;203;dublin
115.0;KILLARNEY STREET;Killarney Street;53.354845;-6.247579;204;dublin
47.0;HERBERT STREET;Herbert Street;53.335742;-6.24551;205;dublin
117.0;HANOVER QUAY EAST;Hanover Quay East;53.343653;-6.231755;206;dublin
8.0;CUSTOM HOUSE QUAY;Custom House Quay;53.347884;-6.248048;207;dublin
27.0;MOLESWORTH STREET;Molesworth Street;53.3412353;-6.2575938;208;dublin
16.0;GEORGES QUAY;Georges Quay;53.347508;-6.252192;209;dublin
96.0;KILMAINHAM LANE;Kilmainham Lane;53.341805;-6.305085;210;dublin
82.0;MOUNT BROWN;Mount Brown;53.341645;-6.29719;211;dublin
76.0;MARKET STREET SOUTH;Market Street South;53.342296;-6.287661;212;dublin
71.0;KEVIN STREET;Kevin Street;53.337757;-6.267699;213;dublin
79.0;ECCLES STREET EAST;Eccles Street East;53.358115;-6.265601;214;dublin
69.0;GRAND CANAL DOCK;Grand Canal Dock;53.342638;-6.238695;215;dublin
25.0;MERRION SQUARE EAST;Merrion Square East;53.339069;-6.247006;216;dublin
51.0;YORK STREET WEST;York Street West;53.339334;-6.264699;217;dublin
37.0;ST. STEPHEN'S GREEN SOUTH;St. Stephen's Green South;53.337494;-6.26199;218;dublin
59.0;DENMARK STREET GREAT;Denmark Street Great;53.35561;-6.261397;219;dublin
95.0;ROYAL HOSPITAL;Royal Hospital;53.343897;-6.29706;220;dublin
94.0;HEUSTON STATION (CAR PARK);Heuston Station (Car Park);53.346985;-6.297804;221;dublin
105.0;GRANGEGORMAN LOWER (NORTH);Grangegorman Lower (North);53.355954;-6.278378;222;dublin
36.0;ST. STEPHEN'S GREEN EAST;St. Stephen's Green East;53.337636;-6.256218;223;dublin
93.0;HEUSTON STATION (CENTRAL);Heuston Station (Central);53.346603;-6.296924;224;dublin
22.0;TOWNSEND STREET;Townsend Street;53.345922;-6.254614;225;dublin
50.0;GEORGES LANE;George's Lane;53.35023;-6.279696;226;dublin
110.0;PHIBSBOROUGH ROAD;Phibsborough Road;53.356307;-6.273717;227;dublin
12.0;ECCLES STREET;Eccles Street;53.359246;-6.269779;228;dublin
78.0;MATER HOSPITAL;Mater Hospital;53.359967;-6.264828;229;dublin
2.0;BLESSINGTON STREET;Blessington Street;53.356769;-6.26814;230;dublin
75.0;JAMES STREET;James Street;53.343456;-6.287409;231;dublin
111.0;MOUNTJOY SQUARE EAST;Mountjoy Square East;53.356717;-6.256359;232;dublin
26.0;MERRION SQUARE WEST;Merrion Square West;53.3400705;-6.2517163;233;dublin
65.0;CONVENTION CENTRE;Convention Centre;53.34744;-6.238523;234;dublin
15.0;HARDWICKE STREET;Hardwicke Street;53.355473;-6.264423;235;dublin
86.0;PARKGATE STREET;Parkgate Street;53.347972;-6.291804;236;dublin
35.0;SMITHFIELD;Smithfield;53.347692;-6.278214;237;dublin
10.0;DAME STREET;Dame Street;53.344007;-6.266802;238;dublin
100.0;HEUSTON BRIDGE (SOUTH);Heuston Bridge (South);53.347106;-6.292041;239;dublin
24.0;CATHAL BRUGHA STREET;Cathal Brugha Street;53.3522131;-6.2603279;240;dublin
64.0;SANDWITH STREET;Sandwith Street;53.345203;-6.247163;241;dublin
109.0;BUCKINGHAM STREET LOWER;Buckingham Street Lower;53.353331;-6.249319;242;dublin
85.0;ROTHE ABBEY;Rothe Abbey;53.338776;-6.30395;243;dublin
107.0;CHARLEVILLE ROAD;Charleville Road;53.359157;-6.281866;244;dublin
33.0;PRINCES STREET / O'CONNELL STREET;Princes Street / O'Connell Street;53.349013;-6.260311;245;dublin
44.0;UPPER SHERRARD STREET;Upper Sherrard Street;53.3585932;-6.2602984;246;dublin
89.0;FITZWILLIAM SQUARE EAST;Fitzwilliam Square East;53.335211;-6.2509;247;dublin
57.0;GRATTAN STREET;Grattan Street;53.339629;-6.243778;248;dublin
